run_id,item_id,model_key,model_name,difficulty,status,correct,latency_ms,prompt_tokens,completion_tokens,parsed_sql,note
20260915-103043,q001,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,4196.2,304,6,SELECT COUNT(*) FROM employees,
20260915-103043,q002,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,4001.3,304,6,SELECT COUNT(*) FROM departments,
20260915-103043,q003,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,7680.5,312,19,"SELECT first_name, last_name FROM employees WHERE emp_no = 10001",
20260915-103043,q004,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,5971.5,303,8,SELECT max(salary) FROM salaries,
20260915-103043,q005,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,4853.7,302,12,SELECT COUNT(*) FROM employees WHERE gender = 'F',
20260915-103043,q006,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,correct,True,15667.8,314,49,"SELECT d.dept_name, COUNT(e.emp_no) AS num_employees
FROM departments d
JOIN dept_emp e ON d.dept_no = e.dept_no
GROUP BY d.dept_name
ORDER BY num_employees DESC",
20260915-103043,q007,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,16050.9,311,46,"SELECT d.dept_name FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
GROUP BY d.dept_no
HAVING COUNT(de.emp_no) > 10000","returned 1 columns, expected 2"
20260915-103043,q008,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,correct,True,7846.0,313,16,"SELECT emp_no, salary FROM salaries ORDER BY salary ASC LIMIT 10",
20260915-103043,q009,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,correct,True,6005.9,307,14,"SELECT gender, COUNT(*) FROM employees GROUP BY gender ORDER BY gender",
20260915-103043,q010,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,10946.7,307,31,"SELECT dept_no, COUNT(*) AS dept_manager_count
FROM dept_manager
GROUP BY dept_no
ORDER BY dept_manager_count DESC
LIMIT 5","same shape, different values"
20260915-103043,q011,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,9307.0,314,24,SELECT COUNT(emp_no) FROM employees WHERE hire_date < '1990-01-01',
20260915-103043,q012,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,3979.3,303,8,SELECT avg(salary) FROM salaries,
20260915-103043,q013,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,4462.7,303,8,SELECT min(salary) FROM salaries,
20260915-103043,q014,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,7707.9,304,22,SELECT COUNT(*) FROM salaries WHERE to_date = '9999-01-01',
20260915-103043,q015,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,5137.1,305,13,SELECT COUNT(*) FROM employees WHERE first_name = 'Mary',
20260915-103043,q016,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,4237.3,304,10,SELECT COUNT(DISTINCT title) FROM titles,
20260915-103043,q017,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,4039.6,305,8,SELECT SUM(salary) FROM salaries,
20260915-103043,q018,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,7742.9,303,23,SELECT COUNT(*) FROM dept_emp WHERE to_date = '9999-01-01',
20260915-103043,q019,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,wrong_result,False,6376.2,310,15,SELECT dept_name FROM departments WHERE dept_no LIKE 'd00%',"same shape, different values"
20260915-103043,q020,local,qwen2.5-coder:3b-instruct-q4_K_M,easy,correct,True,9784.1,314,24,SELECT COUNT(emp_no) FROM employees WHERE birth_date > '1960-01-01',
20260915-103043,q021,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,20982.9,306,69,"SELECT d.dept_name, AVG(s.salary) AS avg_salary
FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN salaries s ON de.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
GROUP BY d.dept_name","same shape, different values"
20260915-103043,q022,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,18099.7,309,59,"SELECT d.dept_name FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
WHERE de.to_date = '9999-01-01'
GROUP BY d.dept_name
ORDER BY COUNT(*) ASC
LIMIT 10","returned 1 columns, expected 2"
20260915-103043,q023,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,7373.8,311,19,SELECT title FROM titles GROUP BY title HAVING COUNT(*) > 50000,"returned 1 columns, expected 2"
20260915-103043,q024,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,8853.7,315,21,"SELECT emp_no, MAX(salary) FROM salaries WHERE emp_no < 10010","returned 1 rows, expected 9"
20260915-103043,q025,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,7027.9,306,18,SELECT dept_no FROM dept_manager GROUP BY dept_no HAVING COUNT(*) >= 2,"returned 1 columns, expected 2"
20260915-103043,q026,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,7322.1,306,18,SELECT first_name FROM employees GROUP BY first_name ORDER BY COUNT(*) DESC LIMIT 5,"returned 1 columns, expected 2"
20260915-103043,q027,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,correct,True,23764.9,312,31,SELECT title FROM titles WHERE emp_no = 10001 AND to_date = '9999-01-01',
20260915-103043,q028,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,7113.9,306,17,SELECT emp_no FROM salaries GROUP BY emp_no HAVING COUNT(*) > 3,"returned 1 columns, expected 2"
20260915-103043,q029,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,21261.7,306,70,"SELECT d.dept_name, SUM(s.salary) AS total_payroll
FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN salaries s ON de.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
GROUP BY d.dept_name","same shape, different values"
20260915-103043,q030,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,13638.3,303,41,SELECT DISTINCT d.dept_name FROM departments d JOIN dept_manager dm ON d.dept_no = dm.dept_no WHERE dm.to_date = '9999-01-01',"returned 1 columns, expected 2"
20260915-103043,q031,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,19784.3,315,61,"SELECT e.emp_no, e.first_name, e.last_name FROM employees e
JOIN dept_emp de ON e.emp_no = de.emp_no
WHERE e.hire_date BETWEEN '1980-01-01' AND '1989-12-31'","returned 182068 rows, expected 131779"
20260915-103043,q032,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,17009.0,310,55,"SELECT T2.gender, AVG(T1.salary) AS average_salary
FROM salaries AS T1
JOIN employees AS T2 ON T1.emp_no = T2.emp_no
WHERE T1.to_date = '9999-01-01'","returned 1 rows, expected 2"
20260915-103043,q033,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,23164.4,313,74,"SELECT d.dept_name FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN salaries s ON de.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
GROUP BY d.dept_no
HAVING AVG(s.salary) > 60000","returned 1 columns, expected 2"
20260915-103043,q034,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,18027.8,308,50,"SELECT e.first_name, e.last_name, COUNT(t.title) AS title_count
FROM employees e
JOIN titles t ON e.emp_no = t.emp_no
GROUP BY e.emp_no
ORDER BY title_count DESC
LIMIT 10","returned 3 columns, expected 4"
20260915-103043,q035,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,sql_error,False,23202.1,309,81,"SELECT DISTINCT d.dept_name, e.first_name, e.last_name
FROM departments d
JOIN dept_manager dm ON d.dept_no = dm.dept_no
JOIN employees e ON dm.emp_no = e.emp_no
WHERE dm.to_date = '9999-01-01' AND e.to_date = '9999-01-01'",no such column: e.to_date
20260915-103043,q036,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,14280.9,309,42,"SELECT d.dept_no, MIN(de.from_date) AS earliest_start_date
FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
GROUP BY d.dept_no","same shape, different values"
20260915-103043,q037,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,12367.9,307,37,"SELECT e.emp_no, e.first_name, e.last_name FROM employees e
JOIN titles t ON e.emp_no = t.emp_no
WHERE t.title LIKE '%Engineer%'","returned 227881 rows, expected 120510"
20260915-103043,q038,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,21908.8,306,77,"SELECT d.dept_name, MIN(s.salary) AS min_salary, MAX(s.salary) AS max_salary
FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN salaries s ON de.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
GROUP BY d.dept_name","same shape, different values"
20260915-103043,q039,local,qwen2.5-coder:3b-instruct-q4_K_M,medium,wrong_result,False,28416.2,314,94,"SELECT d.dept_name FROM departments d
JOIN dept_emp de ON d.dept_no = de.dept_no
JOIN dept_manager dm ON d.dept_no = dm.dept_no
WHERE de.to_date = '9999-01-01' AND dm.to_date = '9999-01-01'
GROUP BY d.dept_name
HAVING COUNT(de.emp_no) > 5000","returned 1 columns, expected 2"
20260915-103043,q040,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,correct,True,27803.3,317,92,"SELECT e.emp_no, e.first_name, e.last_name
FROM employees e
JOIN titles t ON e.emp_no = t.emp_no
JOIN salaries s ON e.emp_no = s.emp_no
WHERE t.to_date = '9999-01-01' AND s.to_date = '9999-01-01' AND s.salary > 100000",
20260915-103043,q041,local,qwen2.5-coder:3b-instruct-q4_K_M,hard,sql_error,False,20783.9,310,69,SELECT dept_name FROM departments WHERE dept_no IN (SELECT dept_no FROM dept_emp WHERE to_date = '9999-01-01' GROUP BY dept_no HAVING avg(salary) > (SELECT avg(salary) FROM dept_emp WHERE to_date = '9999-01-01')),no such column: salary
